uv,ocr,search,sellingpoint,payment,material,placement
871.1831,0.01,0.0016,Spend & Save,cpd,jpg,sub-banner
4.6,0.0377,0.0,Price Drop,cpc,gif,sub-banner
39.2981,0.0438,0.001,Discount,cpm,swf,uncertained
445.383,0.1963,0.0118,Spend & Save,cpc,jpg,banner
27.2886,0.0648,0.0058,Gift with Purchase,cpd,jpg,tips
37.7226,0.0582,0.0044,Discount,cpd,swf,tips
4.7348,0.066,0.0,Price Drop,cpc,gif,sub-banner
28.2068,0.0126,0.0035,Gift with Purchase,cpm,jpg,sub-banner
9.5598,0.0761,0.0093,Flash Sale,roi,jpg,uncertained
838.3907,0.0004,0.0013,Discount,cpm,swf,tips
55.9521,0.1979,0.0074,Spend & Save,cpc,jpg,banner
26.0,0.17,0.0075,Spend & Save,cpc,jpg,banner
699.65,0.01,0.0039,Spend & Save,cpd,swf,tips
221.0836,0.0817,0.0075,Spend & Save,cpc,jpg,banner
72.8202,0.0616,0.0043,Discount,cpd,swf,uncertained
491.6068,0.0163,0.0037,Price Drop,roi,jpg,uncertained
6.0276,0.0015,0.0001,Flash Sale,cpc,jpg,banner
1013.1202,0.1928,0.0063,Discount,cpm,swf,tips
5.4075,0.2069,0.0,Price Drop,cpc,gif,sub-banner
4.6039,0.0385,0.0,Price Drop,cpc,gif,sub-banner
413.2685,0.0059,0.0016,Gift with Purchase,roi,jpg,uncertained
5.1468,0.1523,0.0,Price Drop,cpc,gif,sub-banner
127.05,0.03,0.0029,Spend & Save,cpc,jpg,banner
288.1336,0.01,0.001,Discount,cpc,swf,tips
1.4886,0.2058,0.011,Spend & Save,cpc,jpg,banner
76.1854,0.0731,0.0042,Discount,cpd,swf,uncertained
55.1457,0.0757,0.0067,Discount,cpd,swf,tips
315.9267,0.1829,0.0169,Discount,cpm,jpg,tips
2.7666,0.0076,0.0006,Discount,cpm,swf,tips
4.5572,0.0288,0.0,Price Drop,cpc,gif,sub-banner
336.3996,0.0675,0.0052,Discount,cpm,jpg,tips
1.9724,0.1192,0.0,Spend & Save,cpc,jpg,banner
397.4321,0.2995,0.0125,Spend & Save,cpc,jpg,banner
651.7268,0.0099,0.0004,Discount,roi,swf,uncertained
395.082,0.0051,0.0009,Spend & Save,roi,swf,uncertained
405.6782,0.025,0.0042,Flash Sale,roi,jpg,uncertained
5.0864,0.1396,0.0,Price Drop,cpc,gif,sub-banner
482.5252,0.0071,0.0019,Discount,cpm,swf,tips
5.3317,0.191,0.0,Price Drop,cpc,gif,sub-banner
30.0763,0.2214,0.0087,Spend & Save,cpc,jpg,banner
601.0301,0.0061,0.0024,Flash Sale,cpd,jpg,sub-banner
688.4276,0.0197,0.004,Discount,cpm,swf,tips
159.5369,0.2006,0.0125,Spend & Save,cpc,jpg,banner
145.4698,0.0165,0.0007,Price Drop,cpm,jpg,sub-banner
80.3496,0.0964,0.0046,Discount,cpd,jpg,tips
30.4891,0.0063,0.0019,Gift with Purchase,cpm,jpg,sub-banner
5.8459,0.1998,0.0046,Discount,cpd,swf,tips
4.6393,0.046,0.0,Price Drop,cpc,gif,sub-banner
57.0632,0.0346,0.0037,Discount,cpd,swf,uncertained
380.0667,0.0179,0.0025,Discount,cpm,swf,tips
13.0338,0.2747,0.0045,Spend & Save,cpc,jpg,banner
5.286,0.1814,0.0,Price Drop,cpc,gif,sub-banner
38.7978,0.047,0.0016,Discount,cpm,swf,uncertained
54.4591,0.1369,0.0131,Spend & Save,cpd,jpg,sub-banner
777.9043,0.1364,0.0055,Discount,cpm,swf,tips
694.9644,0.0139,0.0039,Gift with Purchase,cpm,swf,tips
14.6698,0.2209,0.0023,Gift with Purchase,cpm,jpg,tips
734.8072,0.01,0.0016,Price Drop,cpm,swf,tips
399.9731,0.0088,0.0019,Discount,cpm,swf,tips
733.302,0.13,0.009,Cash/Coupon-Back,cpc,jpg,sub-banner
837.7496,0.0002,0.0013,Discount,cpm,swf,tips
728.0396,0.01,0.0018,Gift with Purchase,cpm,swf,tips
5.1447,0.1518,0.0,Price Drop,cpc,gif,sub-banner
56.7465,0.0374,0.0044,Discount,cpd,swf,tips
4.91,0.1027,0.0,Price Drop,cpc,gif,sub-banner
170.3551,0.0904,0.0037,Spend & Save,cpc,jpg,banner
96.2306,0.1436,0.0081,Gift with Purchase,cpd,jpg,sub-banner
270.1843,0.0423,0.002,Discount,cpd,jpg,sub-banner
0.763,0.0978,0.013,Spend & Save,cpc,jpg,banner
2.9444,0.1503,0.0118,Gift with Purchase,cpc,jpg,banner
31.7039,0.0659,0.0059,Spend & Save,cpc,jpg,banner
397.1608,0.2603,0.0106,Spend & Save,cpc,jpg,banner
366.7531,0.0093,0.0058,Flash Sale,roi,swf,uncertained
883.011,0.0035,0.0005,Gift with Purchase,roi,swf,uncertained
4.4499,0.0063,0.0,Price Drop,cpc,gif,sub-banner
107.0802,0.0485,0.0022,Discount,cpd,swf,uncertained
52.6754,0.0388,0.0098,Flash Sale,cpm,swf,tips
402.5968,0.2561,0.0113,Spend & Save,cpc,jpg,banner
650.9369,0.0096,0.0004,Discount,roi,swf,uncertained
26.4164,0.0954,0.0081,Gift with Purchase,cpm,jpg,tips
225.2768,0.0812,0.0032,Discount,cpd,swf,tips
881.5828,0.0037,0.0004,Price Drop,roi,swf,uncertained
31.0967,0.1744,0.0067,Spend & Save,cpc,jpg,banner
984.6147,0.0153,0.0015,Price Drop,cpd,jpg,sub-banner
4.678,0.0541,0.0,Price Drop,cpc,gif,sub-banner
55.8009,0.0759,0.006,Spend & Save,cpd,jpg,sub-banner
4.4479,0.0059,0.0,Price Drop,cpc,gif,sub-banner
27.6539,0.0916,0.0105,Gift with Purchase,cpd,jpg,sub-banner
2.4417,0.0806,0.0068,Discount,cpm,swf,uncertained
400.3149,0.2812,0.0164,Spend & Save,cpc,jpg,banner
123.7463,0.1449,0.0082,Discount,cpd,jpg,tips
395.2178,0.0056,0.0008,Spend & Save,roi,swf,uncertained
13.8908,0.1772,0.0034,Gift with Purchase,cpm,jpg,tips
5.4375,0.2132,0.0,Price Drop,cpc,gif,sub-banner
26.4638,0.0982,0.0081,Gift with Purchase,cpm,jpg,tips
4.5503,0.0273,0.0,Price Drop,cpc,gif,sub-banner
158.2673,0.2306,0.0137,Spend & Save,cpc,jpg,banner
7.7884,0.1547,0.0155,Flash Sale,cpm,jpg,tips
278.1842,0.0171,0.0002,Discount,cpm,jpg,tips
3.8765,0.0002,0.0023,Gift with Purchase,cpc,jpg,banner
466.1341,0.0047,0.0021,Discount,roi,swf,uncertained
614.3243,0.0066,0.0026,Flash Sale,cpd,jpg,sub-banner
5.3498,0.1948,0.0,Price Drop,cpc,gif,sub-banner
3.1477,0.1091,0.0086,Gift with Purchase,cpc,jpg,banner
846.0157,0.0043,0.0006,Discount,cpm,swf,tips
3.5381,0.0202,0.0016,Gift with Purchase,cpc,jpg,banner
4.5975,0.0372,0.0,Price Drop,cpc,gif,sub-banner
9.679,0.2995,0.0079,Spend & Save,cpc,jpg,banner
846.0823,0.003,0.0005,Discount,cpm,swf,tips
1.6993,0.0164,0.0014,Discount,cpm,swf,uncertained
57.5384,0.0555,0.0064,Price Drop,cpm,swf,tips
55.7406,0.0354,0.0056,Discount,cpd,swf,tips
1032.8382,0.1138,0.0041,Discount,cpm,swf,tips
893.1702,0.01,0.0022,Discount,roi,swf,uncertained
1.4288,0.1746,0.013,Spend & Save,cpc,jpg,banner
4.5651,0.0928,0.0041,Spend & Save,cpc,jpg,banner
5.2774,0.1796,0.0,Price Drop,cpc,gif,sub-banner
404.5768,0.0327,0.0056,Flash Sale,roi,jpg,uncertained
5.4263,0.2109,0.0,Price Drop,cpc,gif,sub-banner
24.8429,0.156,0.005,Spend & Save,cpc,jpg,banner
218.2676,0.01,0.0012,Discount,roi,swf,uncertained
58.4497,0.2096,0.0118,Spend & Save,cpc,jpg,banner
462.377,0.0042,0.002,Flash Sale,roi,swf,uncertained
478.2586,0.0054,0.0036,Discount,cpm,swf,uncertained
61.2872,0.0047,0.0019,Flash Sale,roi,jpg,tips
56.0313,0.0219,0.004,Discount,cpd,swf,uncertained
7.6236,0.1623,0.0161,Discount,cpm,jpg,tips
672.9258,0.0169,0.0028,Discount,cpm,swf,tips
665.1511,0.0229,0.0028,Discount,cpm,swf,tips
144.5233,0.0199,0.0001,Discount,roi,swf,uncertained
344.2624,0.0013,0.0002,Discount,roi,swf,uncertained
19.2955,0.2645,0.0153,Gift with Purchase,cpc,jpg,banner
57.4183,0.0389,0.0036,Discount,cpd,swf,uncertained
125.743,0.1499,0.0106,Spend & Save,cpc,jpg,banner
14.2299,0.0243,0.0006,Discount,cpd,swf,uncertained
5.4259,0.2108,0.0,Price Drop,cpc,gif,sub-banner
14.96,0.2327,0.0023,Gift with Purchase,cpm,jpg,tips
224.9986,0.0851,0.0037,Discount,cpd,jpg,tips
12.8923,0.2692,0.0073,Spend & Save,cpc,jpg,banner
4.5257,0.0221,0.0,Price Drop,cpc,gif,sub-banner
4.9785,0.117,0.0,Price Drop,cpc,gif,sub-banner
29.6649,0.1394,0.0133,Gift with Purchase,cpc,jpg,banner
651.4594,0.009,0.0004,Discount,roi,swf,uncertained
34.7517,0.1769,0.0142,Gift with Purchase,cpc,jpg,banner
18.3052,0.1034,0.0056,Gift with Purchase,cpc,jpg,banner
220.3979,0.0315,0.0089,Cash/Coupon-Back,cpc,jpg,sub-banner
4.8415,0.0883,0.0,Price Drop,cpc,gif,sub-banner
19.3811,0.2876,0.0166,Gift with Purchase,cpc,jpg,banner
62.7178,0.0783,0.0131,Cash/Coupon-Back,cpc,jpg,sub-banner
19.2932,0.2638,0.0153,Gift with Purchase,cpc,jpg,banner
482.5197,0.0072,0.0018,Discount,cpm,swf,tips
61.8851,0.0457,0.0038,Discount,cpd,swf,uncertained
4.5276,0.0226,0.0,Price Drop,cpc,gif,sub-banner
647.026,0.0026,0.0001,Flash Sale,roi,swf,uncertained
4.5784,0.0921,0.0036,Spend & Save,cpc,jpg,banner
5.1028,0.1431,0.0,Price Drop,cpc,gif,sub-banner
1021.2115,0.2344,0.0074,Discount,cpm,swf,tips
773.5655,0.0745,0.003,Discount,cpm,swf,tips
52.0642,0.2602,0.0067,Discount,cpd,swf,uncertained
1131.8434,0.01,0.0015,Discount,roi,swf,uncertained
2.4574,0.0718,0.0192,Discount,roi,swf,uncertained
4.9583,0.1128,0.0,Price Drop,cpc,gif,sub-banner
3.6851,0.02,0.0017,Gift with Purchase,cpc,jpg,banner
93.3967,0.1486,0.0073,Gift with Purchase,cpd,jpg,sub-banner
269.5637,0.0344,0.0014,Discount,cpd,jpg,sub-banner
9.3529,0.0945,0.0108,Flash Sale,roi,jpg,uncertained
78.0466,0.0795,0.0042,Discount,cpd,swf,uncertained
8.5421,0.1826,0.0183,Flash Sale,roi,jpg,uncertained
647.7388,0.0224,0.0017,Flash Sale,cpm,swf,tips
3.51,0.0457,0.0046,Gift with Purchase,cpc,jpg,banner
764.3995,0.0123,0.0007,Discount,cpm,swf,tips
342.46,0.02,0.0026,Discount,roi,swf,uncertained
506.422,0.0058,0.0012,Spend & Save,cpm,swf,tips
397.886,0.0025,0.0025,Discount,cpm,swf,tips
5.0891,0.1402,0.0,Price Drop,cpc,gif,sub-banner
389.5021,0.0136,0.0025,Flash Sale,roi,jpg,uncertained
4.8039,0.0804,0.0,Price Drop,cpc,gif,sub-banner
7.7465,0.2683,0.0065,Discount,cpd,swf,uncertained
483.733,0.0034,0.0038,Discount,cpm,swf,uncertained
14.5733,0.1742,0.0085,Gift with Purchase,roi,jpg,uncertained
224.8477,0.0965,0.0031,Discount,cpd,swf,tips
4.869,0.0941,0.0,Price Drop,cpc,gif,sub-banner
274.0092,0.0924,0.0058,Flash Sale,cpd,jpg,tips
2.7996,0.0001,0.0,Discount,cpm,swf,tips
3.1787,0.1122,0.009,Gift with Purchase,cpc,jpg,banner
797.2778,0.0308,0.0035,Flash Sale,roi,jpg,uncertained
807.259,0.0354,0.0042,Discount,cpm,swf,tips
653.5134,0.0198,0.0108,Spend & Save,cpc,swf,tips
26.397,0.0943,0.0081,Gift with Purchase,cpm,jpg,tips
26.2967,0.1815,0.0068,Spend & Save,cpc,jpg,banner
7.0824,0.2576,0.0061,Discount,cpd,swf,uncertained
699.72,0.01,0.0039,Spend & Save,cpm,swf,tips
770.6515,0.0177,0.0007,Discount,cpm,swf,tips
108.1796,0.0599,0.0026,Discount,cpd,swf,uncertained
4.4503,0.0063,0.0,Price Drop,cpc,gif,sub-banner
8.4949,0.0139,0.0014,Flash Sale,cpc,jpg,banner
226.273,0.1068,0.0038,Discount,cpd,swf,uncertained
66.02,0.01,0.0036,Flash Sale,roi,jpg,tips
707.6741,0.0118,0.0017,Discount,cpm,swf,tips
2.6014,0.0714,0.006,Discount,cpm,swf,tips
61.9544,0.0448,0.0038,Discount,cpd,swf,uncertained
156.7243,0.2421,0.0118,Spend & Save,cpc,jpg,banner
26.3317,0.0904,0.008,Gift with Purchase,cpm,jpg,tips
121.897,0.3023,0.0161,Discount,cpc,swf,uncertained
29.6427,0.1389,0.0132,Gift with Purchase,cpc,jpg,banner
1.9335,0.1867,0.0115,Spend & Save,cpc,jpg,banner
32.6146,0.0005,0.0004,Gift with Purchase,cpm,jpg,sub-banner
3.718,0.1791,0.0064,Gift with Purchase,roi,jpg,uncertained
4.6573,0.0497,0.0,Price Drop,cpc,gif,sub-banner
124.5022,0.1182,0.0075,Spend & Save,cpc,jpg,banner
28.9677,0.2108,0.007,Spend & Save,cpc,jpg,banner
2.403,0.0459,0.0039,Discount,cpm,swf,tips
120.9557,0.0171,0.0093,Cash/Coupon-Back,cpc,jpg,sub-banner
9.7416,0.06,0.0079,Flash Sale,roi,jpg,uncertained
4.5889,0.0354,0.0,Price Drop,cpc,gif,sub-banner
27.7033,0.1996,0.0079,Spend & Save,cpc,jpg,banner
483.1213,0.0086,0.0009,Discount,cpm,swf,tips
403.4371,0.0087,0.001,Discount,cpm,swf,tips
731.0036,0.13,0.0087,Cash/Coupon-Back,cpc,jpg,sub-banner
408.0733,0.2518,0.0116,Spend & Save,cpc,jpg,banner
5.4002,0.2054,0.0,Price Drop,cpc,gif,sub-banner
170.0,0.16,0.0094,Cash/Coupon-Back,cpc,jpg,sub-banner
7.7432,0.2084,0.0119,Gift with Purchase,cpc,jpg,banner
336.6431,0.0687,0.0054,Discount,cpd,jpg,tips
49.9779,0.3038,0.0236,Spend & Save,cpc,jpg,banner
4.7724,0.0738,0.0,Price Drop,cpc,gif,sub-banner
14.5752,0.1508,0.0102,Gift with Purchase,roi,jpg,uncertained
2.3761,0.0419,0.0033,Gift with Purchase,cpc,jpg,banner
1025.3408,0.2565,0.0079,Discount,cpm,swf,tips
66.6029,0.0052,0.002,Flash Sale,roi,jpg,tips
5.0961,0.1417,0.0,Price Drop,cpc,gif,sub-banner
20.8177,0.0098,0.0041,Flash Sale,cpm,jpg,tips
612.962,0.0194,0.0013,Price Drop,cpm,swf,tips
12.781,0.2465,0.013,Spend & Save,cpc,jpg,banner
267.22,0.17,0.0088,Price Drop,cpc,jpg,sub-banner
647.7656,0.0255,0.0019,Flash Sale,cpm,swf,tips
170.0724,0.0062,0.0012,Discount,roi,jpg,uncertained
397.2469,0.2901,0.0174,Spend & Save,cpc,jpg,banner
8.4094,0.1805,0.0181,Flash Sale,roi,jpg,uncertained
2.642,0.2739,0.0142,Gift with Purchase,roi,jpg,uncertained
4.9262,0.1061,0.0,Price Drop,cpc,gif,sub-banner
50.3579,0.2106,0.0124,Gift with Purchase,cpc,jpg,banner
64.451,0.031,0.0044,Discount,cpd,swf,uncertained
199.2446,0.0015,0.0002,Discount,roi,swf,uncertained
703.7848,0.0132,0.0021,Discount,cpm,swf,tips
104.7811,0.0031,0.0006,Discount,roi,jpg,uncertained
591.2582,0.0128,0.0011,Flash Sale,roi,jpg,uncertained
695.6094,0.0137,0.004,Gift with Purchase,cpm,swf,tips
4.9261,0.106,0.0,Price Drop,cpc,gif,sub-banner
58.7,0.0532,0.0035,Discount,cpd,swf,uncertained
515.479,0.1252,0.0018,Discount,cpm,swf,tips
11.96,0.3,0.005,Price Drop,cpc,jpg,sub-banner
61.374,0.0509,0.004,Discount,cpd,swf,uncertained
18.0909,0.1962,0.0061,Spend & Save,cpc,jpg,banner
35.0458,0.222,0.0077,Price Drop,cpc,jpg,banner
401.8682,0.0195,0.0011,Discount,cpm,swf,tips
149.4258,0.2188,0.0109,Cash/Coupon-Back,cpc,jpg,sub-banner
483.7773,0.0054,0.0027,Discount,cpm,swf,tips
610.541,0.0173,0.0017,Spend & Save,cpm,swf,tips
4.945,0.11,0.0,Price Drop,cpc,gif,sub-banner
5.1074,0.144,0.0,Price Drop,cpc,gif,sub-banner
711.2647,0.01,0.0013,Discount,cpm,swf,tips
5.2404,0.1719,0.0,Price Drop,cpc,gif,sub-banner
4.5064,0.0181,0.0,Price Drop,cpc,gif,sub-banner
153.8037,0.0127,0.0005,Gift with Purchase,roi,swf,uncertained
2.4264,0.133,0.004,Spend & Save,cpc,jpg,banner
498.8356,0.0101,0.0026,Price Drop,cpm,swf,tips
0.7498,0.3187,0.0001,Discount,cpm,swf,tips
2.5453,0.0896,0.0076,Discount,cpm,swf,uncertained
4.7428,0.0676,0.0,Price Drop,cpc,gif,sub-banner
397.2425,0.2903,0.0173,Spend & Save,cpc,jpg,banner
404.3196,0.0125,0.0006,Discount,cpm,swf,tips
59.2506,0.0595,0.0034,Discount,cpd,swf,uncertained
17.4697,0.0491,0.0125,Gift with Purchase,cpd,jpg,sub-banner
312.0186,0.0617,0.0044,Flash Sale,cpd,jpg,sub-banner
5.0489,0.1318,0.0,Price Drop,cpc,gif,sub-banner
1012.0448,0.1037,0.0037,Discount,cpm,swf,tips
121.4256,0.2857,0.0087,Spend & Save,cpc,jpg,banner
9.0342,0.0233,0.0031,Flash Sale,cpd,jpg,sub-banner
445.8771,0.1975,0.0118,Spend & Save,cpc,jpg,banner
224.146,0.0875,0.0027,Discount,cpd,swf,tips
5.3837,0.2019,0.0,Price Drop,cpc,gif,sub-banner
282.8251,0.0055,0.0002,Discount,cpm,swf,tips
55.4045,0.0563,0.0069,Price Drop,cpm,jpg,tips
60.0612,0.0716,0.0177,Cash/Coupon-Back,cpc,jpg,sub-banner
371.3825,0.0289,0.0028,Discount,cpm,swf,tips
1019.2112,0.169,0.0056,Discount,cpm,swf,tips
39.3855,0.0432,0.0009,Discount,cpm,swf,uncertained
198.7,0.01,0.0009,Discount,roi,swf,uncertained
3.6907,0.021,0.0016,Gift with Purchase,cpc,jpg,banner
15.0192,0.2346,0.0037,Gift with Purchase,roi,jpg,uncertained
397.5439,0.3049,0.0097,Spend & Save,cpc,jpg,banner
274.8253,0.0075,0.0007,Price Drop,roi,swf,uncertained
27.5317,0.087,0.0072,Gift with Purchase,cpd,jpg,sub-banner
14.87,0.26,0.002,Gift with Purchase,roi,jpg,uncertained
62.2921,0.0401,0.0034,Discount,cpd,swf,uncertained
4.1816,0.0029,0.0054,Gift with Purchase,cpc,jpg,banner
610.2743,0.0175,0.0017,Spend & Save,cpm,swf,tips
4.5199,0.0674,0.0007,Spend & Save,cpc,jpg,banner
404.3176,0.01,0.0011,Discount,roi,swf,uncertained
966.7489,0.01,0.0011,Price Drop,roi,swf,uncertained
121.0821,0.3114,0.0101,Spend & Save,cpc,jpg,banner
4.6456,0.0473,0.0,Price Drop,cpc,gif,sub-banner
217.9036,0.01,0.0011,Discount,roi,swf,uncertained
219.2511,0.1008,0.0052,Discount,cpd,jpg,tips
208.0935,0.2262,0.01,Spend & Save,cpc,jpg,banner
5.2934,0.183,0.0,Price Drop,cpc,gif,sub-banner
381.7446,0.0292,0.0034,Discount,cpm,swf,tips
773.5239,0.0736,0.0029,Discount,cpm,swf,tips
18.2958,0.2341,0.0071,Spend & Save,cpc,jpg,banner
107.7935,0.0559,0.0024,Discount,cpd,swf,uncertained
398.0524,0.3013,0.0106,Spend & Save,cpc,jpg,banner
20.7627,0.01,0.0043,Flash Sale,cpm,jpg,tips
397.1832,0.2685,0.0124,Spend & Save,cpc,jpg,banner
142.2229,0.0036,0.001,Discount,roi,jpg,uncertained
12.0745,0.0068,0.008,Flash Sale,cpd,jpg,sub-banner
9.2959,0.1443,0.0073,Gift with Purchase,cpc,jpg,banner
31.5128,0.0629,0.0026,Spend & Save,cpc,jpg,banner
504.2425,0.0076,0.0016,Spend & Save,cpm,swf,tips
226.4566,0.1159,0.0039,Discount,cpd,swf,uncertained
5.2292,0.1695,0.0,Price Drop,cpc,gif,sub-banner
723.7231,0.01,0.0017,Gift with Purchase,cpm,swf,tips
272.5497,0.0057,0.0011,Gift with Purchase,roi,jpg,uncertained
65.0275,0.0356,0.0044,Discount,cpd,swf,uncertained
64.532,0.0304,0.0044,Discount,cpd,swf,uncertained
484.9893,0.003,0.0039,Discount,cpm,swf,uncertained
13.4332,0.0159,0.0162,Gift with Purchase,cpm,jpg,tips
0.6922,0.0118,0.0102,Discount,cpm,swf,tips
93.8125,0.1479,0.0074,Gift with Purchase,cpd,jpg,sub-banner
493.2149,0.0092,0.0034,Gift with Purchase,cpm,swf,uncertained
262.3594,0.0124,0.0012,Discount,roi,swf,uncertained
4.8425,0.0885,0.0,Price Drop,cpc,gif,sub-banner
794.6057,0.0753,0.0048,Discount,cpm,swf,tips
611.3825,0.0166,0.0016,Spend & Save,cpm,swf,tips
4.9888,0.1192,0.0,Price Drop,cpc,gif,sub-banner
487.3138,0.0022,0.004,Discount,cpm,swf,uncertained
5.3443,0.1937,0.0,Price Drop,cpc,gif,sub-banner
15.8398,0.1529,0.0083,Gift with Purchase,cpm,jpg,tips
7.6101,0.2761,0.0123,Gift with Purchase,cpc,jpg,banner
9.4264,0.0879,0.0103,Flash Sale,roi,jpg,uncertained
4.8004,0.0797,0.0,Price Drop,cpc,gif,sub-banner
151.8026,0.01,0.0,Price Drop,roi,swf,uncertained
214.0087,0.1491,0.0104,Spend & Save,cpc,jpg,banner
214.692,0.1402,0.0105,Spend & Save,cpc,jpg,banner
2.7996,0.0001,0.0,Discount,cpm,swf,tips
692.9921,0.0155,0.004,Flash Sale,cpm,swf,tips
5.3491,0.1947,0.0,Price Drop,cpc,gif,sub-banner
344.4169,0.0009,0.0002,Discount,roi,swf,uncertained
3.5164,0.102,0.0119,Gift with Purchase,cpc,jpg,banner
2.6543,0.0479,0.0041,Discount,cpm,swf,tips
5.0925,0.1409,0.0,Price Drop,cpc,gif,sub-banner
9.322,0.244,0.0067,Spend & Save,cpc,jpg,banner
6.0307,0.0449,0.0044,Flash Sale,cpc,jpg,banner
5.1862,0.1605,0.0,Price Drop,cpc,gif,sub-banner
4.5775,0.033,0.0,Price Drop,cpc,gif,sub-banner
76.1855,0.0731,0.0042,Discount,cpd,swf,uncertained
4.9489,0.1108,0.0,Price Drop,cpc,gif,sub-banner
134.883,0.0006,0.0001,Flash Sale,roi,jpg,uncertained
55.4155,0.056,0.0075,Price Drop,cpm,swf,tips
170.55,0.018,0.0032,Flash Sale,roi,jpg,uncertained
20.7886,0.0099,0.0042,Flash Sale,roi,jpg,uncertained
361.4943,0.015,0.0022,Discount,cpm,swf,tips
53.1299,0.0417,0.0094,Flash Sale,cpm,swf,tips
901.7817,0.0119,0.0014,Price Drop,cpd,jpg,sub-banner
220.558,0.0022,0.0017,Flash Sale,roi,jpg,uncertained
88.8752,0.1567,0.0061,Price Drop,cpd,jpg,sub-banner
13.9161,0.0513,0.0161,Gift with Purchase,cpm,jpg,tips
155.0842,0.0367,0.0043,Gift with Purchase,cpm,jpg,tips
5.4361,0.2129,0.0,Price Drop,cpc,gif,sub-banner
0.6922,0.0117,0.0102,Discount,cpm,swf,tips
156.1841,0.2527,0.012,Spend & Save,cpc,jpg,banner
846.1353,0.002,0.0003,Discount,cpm,swf,tips
222.718,0.1195,0.0048,Discount,cpd,jpg,tips
108.1875,0.0658,0.0031,Discount,cpd,jpg,tips
394.314,0.0105,0.002,Flash Sale,roi,jpg,uncertained
60.2331,0.007,0.0025,Flash Sale,roi,jpg,tips
8.3337,0.1035,0.0102,Flash Sale,cpd,jpg,sub-banner
5.1955,0.1625,0.0,Price Drop,cpc,gif,sub-banner
62.977,0.0078,0.0031,Flash Sale,roi,jpg,tips
4.904,0.1014,0.0,Price Drop,cpc,gif,sub-banner
2.3357,0.0963,0.0037,Spend & Save,cpc,jpg,banner
408.6192,0.0177,0.0035,Flash Sale,roi,jpg,uncertained
18.3495,0.0796,0.0075,Gift with Purchase,cpc,jpg,banner
497.5205,0.0023,0.0026,Flash Sale,cpm,jpg,tips
2.4354,0.1924,0.004,Spend & Save,cpc,jpg,banner
155.4883,0.2291,0.0108,Spend & Save,cpc,jpg,banner
151.8014,0.01,0.0,Price Drop,roi,swf,uncertained
51.1009,0.2051,0.0122,Gift with Purchase,cpc,jpg,banner
0.7623,0.0924,0.013,Spend & Save,cpc,jpg,banner
63.071,0.0384,0.004,Discount,cpd,swf,uncertained
61.5802,0.05,0.0041,Discount,cpd,swf,uncertained
0.6904,0.0023,0.0105,Discount,cpm,swf,tips
4.5034,0.0175,0.0,Price Drop,cpc,gif,sub-banner
4.489,0.0145,0.0,Price Drop,cpc,gif,sub-banner
58.465,0.0518,0.0034,Discount,cpd,swf,uncertained
212.3173,0.1711,0.0103,Spend & Save,cpc,jpg,banner
585.0588,0.0054,0.0021,Discount,cpd,jpg,sub-banner
650.8765,0.0076,0.0003,Discount,roi,swf,uncertained
5.1813,0.1595,0.0,Price Drop,cpc,gif,sub-banner
56.4706,0.0398,0.005,Discount,cpd,swf,tips
1011.3155,0.04,0.0033,Gift with Purchase,roi,jpg,uncertained
30.1466,0.2575,0.01,Spend & Save,cpc,jpg,banner
5.2947,0.1833,0.0,Price Drop,cpc,gif,sub-banner
8.4844,0.0571,0.0035,Spend & Save,cpc,jpg,banner
5.0969,0.1418,0.0,Price Drop,cpc,gif,sub-banner
5.0261,0.127,0.0,Price Drop,cpc,gif,sub-banner
840.3343,0.0006,0.001,Discount,cpm,swf,tips
59.2692,0.0594,0.0034,Discount,cpd,swf,uncertained
54.7823,0.1122,0.0113,Gift with Purchase,cpd,jpg,sub-banner
173.2726,0.0137,0.0003,Gift with Purchase,cpm,jpg,sub-banner
259.676,0.01,0.0007,Spend & Save,roi,swf,uncertained
55.872,0.0209,0.0041,Discount,cpd,swf,tips
280.419,0.0099,0.0001,Discount,roi,swf,uncertained
380.4127,0.0171,0.0025,Discount,cpm,swf,tips
1060.3285,0.0053,0.0011,Discount,cpm,swf,tips
1.8566,0.0068,0.0,Spend & Save,cpc,jpg,banner
356.9162,0.0309,0.0024,Discount,cpm,swf,tips
104.7463,0.0005,0.0003,Discount,roi,jpg,uncertained
0.6945,0.0168,0.0093,Discount,cpm,swf,tips
393.6967,0.0003,0.0012,Spend & Save,roi,swf,uncertained
18.7693,0.1222,0.0075,Gift with Purchase,cpc,jpg,banner
56.7405,0.0575,0.0067,Price Drop,cpm,swf,tips
1127.6818,0.0334,0.002,Discount,cpd,swf,uncertained
501.8495,0.0097,0.0021,Spend & Save,cpm,swf,tips
0.8804,0.2749,0.0207,Spend & Save,cpc,jpg,banner
0.7403,0.2683,0.0017,Discount,cpm,swf,tips
3.8153,0.0007,0.0004,Gift with Purchase,cpc,jpg,banner
895.4513,0.01,0.0024,Discount,roi,swf,uncertained
17.1234,0.0371,0.0144,Gift with Purchase,cpd,jpg,sub-banner
2.396,0.0666,0.0178,Discount,roi,swf,uncertained
3.1198,0.2181,0.0097,Gift with Purchase,roi,jpg,uncertained
882.3371,0.01,0.0014,Spend & Save,cpd,jpg,sub-banner
0.7535,0.0018,0.0016,Discount,cpm,swf,tips
991.2075,0.01,0.001,Spend & Save,cpm,jpg,tips
